Epoch,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Train FPR,Val Loss,Val Accuracy,Val Precision,Val Recall,Val F1,Val FPR,Val Inference Time,Val AUC
1,0.0029982850779205913,0.9985193666837762,0.998785481296412,0.9986122194081116,0.9986988428375635,0.0016032247721130502,0.017807669012221167,0.9880228487193662,0.9929180750040238,0.9862509992006395,0.9895733076676291,0.009567297238530115,0.00017241114122071977,0.9883418509810548
2,0.0010051630795385243,0.9990129111225174,0.9991672738628083,0.9990979426152725,0.9991326070362917,0.0010993541294489488,0.02305852224587986,0.9836005159388244,0.9757319555346798,0.9963229416466827,0.9859199493750989,0.03370297890845836,0.00016939549984711408,0.9813099813691121
3,0.0008012066835587574,0.9991511035653651,0.9994446758295155,0.9990632481004753,0.9992539255660623,0.0007329027529659658,0.018481470520460414,0.9882071125852221,0.9940332204483148,0.9854516386890487,0.9897238278741168,0.008045227223309415,0.00016882882189394823,0.9887032057328696
4,0.0006351017832036879,0.9994077466735105,0.999548908706062,0.9994101932484474,0.999479546164255,0.0005954834867848472,0.020342647573654164,0.9888520361157177,0.9897796231236027,0.9908872901678657,0.9903331469201885,0.013916068710589258,0.00016924290229146466,0.9884856107286382
5,0.0006056513637648168,0.9994669720061594,0.9995489556588717,0.9995142767928391,0.9995316159250586,0.0005954834867848472,0.024237477508623494,0.9867330016583747,0.9944974915034795,0.982414068745004,0.9884188515361108,0.007392911502500543,0.00017049915776938963,0.9875105786212517
6,0.0006156040842392179,0.9993090377857622,0.9994794919841765,0.9993061097040558,0.9993927933241962,0.000687096330905593,0.019031751200521165,0.9878385848535103,0.99307456917378,0.985771382893685,0.9894094993581515,0.009349858664927158,0.00016923275401584787,0.9882107621143789
7,0.000245325900818332,0.9998223240020532,0.9998612171258067,0.999826527426014,0.9998438719750196,0.00018322568824149146,0.025448889396048457,0.9881149806522941,0.9910227637063161,0.9883293365307754,0.9896742175618346,0.0121765601217656,0.00016971396240099415,0.9880763882045049
8,0.0010583681033673837,0.9988944604572195,0.999097817412124,0.9989591645560837,0.9990284861732764,0.0011909669735696944,0.01915304686569223,0.9876543209876543,0.9894450663681433,0.9891286970423661,0.9892868564118964,0.014350945857795172,0.00016824648220806638,0.9873888755922854
9,8.880298380319854e-05,0.9999605164449007,1.0,0.9999306109704056,0.9999653042814517,0.0,0.024395825895467987,0.9880228487193662,0.9905494153451866,0.9886490807354117,0.9895983357337175,0.012828875842574472,0.00017108889998532098,0.9879101024464185
10,3.596195897587971e-05,0.9999407746673511,1.0,0.9998959164556084,0.9999479555193173,0.0,0.029599423531033134,0.9877464529205823,0.9916479280436877,0.9870503597122302,0.9893438025799215,0.011306805827353772,0.00016941729008393633,0.9878717769424382
11,0.00032089497770401075,0.9997236151143049,0.9997918184657021,0.9997224438816223,0.9997571299701618,0.0002748385323622372,0.02216361054628284,0.9879307167864382,0.9882015306122449,0.9908872901678657,0.9895425880098987,0.01609045444661883,0.0001694497997114534,0.9873984178606233
12,8.362478071858606e-05,0.9999210328898014,0.9999306109704056,0.9999306109704056,0.9999306109704056,9.161284412074573e-05,0.0227283054021064,0.9877464529205823,0.9888214627914405,0.9899280575539569,0.9893744507469842,0.015220700152207,0.0001690737423985532,0.9873536787008749
13,0.00010822285391711252,0.9998815493347021,0.9998959164556084,0.9998959164556084,0.9998959164556084,0.0001374192661811186,0.023338521913642465,0.9885756403169339,0.9902446825523749,0.9899280575539569,0.9900863447393667,0.013263752989780386,0.0001706853412848185,0.9883321522820883
14,4.6800396093042445e-05,0.9999210328898014,0.9999306109704056,0.9999306109704056,0.9999306109704056,9.161284412074573e-05,0.025369618052155464,0.9880228487193662,0.9892954146029718,0.9899280575539569,0.989611634968835,0.01456838443139813,0.0001683715783761135,0.9876798365612793
